,Unnamed: 0,Unnamed: 0.1,communityLink,communityName,descriptor,lnt,lat
0,0,0,https://bj.lianjia.com/xiaoqu/1111044222826/,岔子胡同,Yes,116.403302981,39.9400989277
1,1,1,https://bj.lianjia.com/xiaoqu/1111027374755/,革新里小区,Yes,116.403515147,39.8733534542
2,2,2,https://bj.lianjia.com/xiaoqu/1111027374078/,东直门内北小街8号院,Yes,116.43280185,39.9538367945
3,3,3,https://bj.lianjia.com/xiaoqu/1111027379053/,瑞士公寓,Yes,116.443567728,39.9384189567
4,4,4,https://bj.lianjia.com/xiaoqu/1111027377516/,金鱼胡同,Yes,116.420689098,39.9217802167
5,5,5,https://bj.lianjia.com/xiaoqu/1111027375142/,华龙美晟,Yes,116.411758313,39.8694300287
6,6,6,https://bj.lianjia.com/xiaoqu/1111027379526/,石桥胡同,Yes,116.429599521,39.9371650206
7,7,7,https://bj.lianjia.com/xiaoqu/1111027378806/,前鼓楼苑胡同,Yes,116.408143806,39.9454718011
8,8,8,https://bj.lianjia.com/xiaoqu/1111027374330/,富瑞苑,Yes,116.447049852,39.8946914929
9,9,9,https://bj.lianjia.com/xiaoqu/1111027376364/,炒豆胡同,Yes,116.410895196,39.9405626792
10,10,10,https://bj.lianjia.com/xiaoqu/1111027377546/,敬业西里,Yes,116.428907607,39.8910489508
11,11,11,https://bj.lianjia.com/xiaoqu/1111027378766/,培新街乙5号院,Yes,116.440499194,39.8957292452
12,12,12,https://bj.lianjia.com/xiaoqu/1111027378802/,千福巷,Yes,116.407407951,39.9538870194
13,13,13,https://bj.lianjia.com/xiaoqu/1111027375180/,华普花园,Yes,116.439133048,39.9422202278
14,14,14,https://bj.lianjia.com/xiaoqu/1111027380616/,向春胡同,Yes,116.437473039,39.9205875698
15,15,15,https://bj.lianjia.com/xiaoqu/1111027373855/,灯市口西街,Yes,116.414906941,39.9247389087
16,16,16,https://bj.lianjia.com/xiaoqu/1111027378577/,南顺成街,Yes,115.988864186,39.7064080665
17,17,17,https://bj.lianjia.com/xiaoqu/1111027377614/,康鸿家园,Yes,116.41607096,39.9670306706
18,18,18,https://bj.lianjia.com/xiaoqu/1111027381285/,校尉胡同,Yes,116.420287748,39.9204565647
19,19,19,https://bj.lianjia.com/xiaoqu/1111027374081/,东直门南大街,Yes,116.440748587,39.9425372602
20,20,20,https://bj.lianjia.com/xiaoqu/1113034601065983/,安德里北街19号院,Yes,116.406445765,39.9636742961
21,21,21,https://bj.lianjia.com/xiaoqu/1111027374269/,复康南里,Yes,116.4111114,39.8847542899
22,22,22,https://bj.lianjia.com/xiaoqu/1111027376532/,长青园,Yes,116.433470186,39.8821985793
23,23,23,https://bj.lianjia.com/xiaoqu/1111099999578/,励骏华庭,Yes,116.42525307,39.920960754
24,24,24,https://bj.lianjia.com/xiaoqu/1111027375578/,安德路乙61号院,Yes,116.400859659,39.9584513073
25,25,25,https://bj.lianjia.com/xiaoqu/1111046813182/,218厂宿舍,Yes,116.428524996,39.8862597707
26,26,26,https://bj.lianjia.com/xiaoqu/1111027375580/,安定门内大街,Yes,116.414658815,39.9524817884
27,27,27,https://bj.lianjia.com/xiaoqu/1111041153202/,文书巷,Yes,116.409886684,39.9230693517
28,28,28,https://bj.lianjia.com/xiaoqu/1111043470537/,葱店东街,Yes,116.431116712,39.8958698255
29,29,29,https://bj.lianjia.com/xiaoqu/1111027378459/,NAGA上院,Yes,116.434496316,39.9480238962
30,30,30,https://bj.lianjia.com/xiaoqu/1111027377571/,精忠街,Yes,116.40877228,39.8949701154
31,31,31,https://bj.lianjia.com/xiaoqu/1111027380927/,谢家胡同,Yes,116.410168851,39.9510472367
